ElementKey,ModelId,GlobalId,ExpressId,IfcClass,PropertyKind,PropertySet,PropertyName,SourceScope,ValueType,ValueText,ValueNumber,ValueBoolean,RawValue
nds-main-v01|176e9AtSXDRwkAVCbhjGna,nds-main-v01,176e9AtSXDRwkAVCbhjGna,3348,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|0a0fURQAXCIPluH4Lr_LIg,nds-main-v01,0a0fURQAXCIPluH4Lr_LIg,3468,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|0a0fURQAXCIPluH4Lr_LIg,nds-main-v01,0a0fURQAXCIPluH4Lr_LIg,3468,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,23.2118189432626,,23.2118189432626
nds-main-v01|1NtvSZ7dnBRPUPMU9l7GaU,nds-main-v01,1NtvSZ7dnBRPUPMU9l7GaU,3477,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|1NtvSZ7dnBRPUPMU9l7GaU,nds-main-v01,1NtvSZ7dnBRPUPMU9l7GaU,3477,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,34.6711547584993,,34.6711547584993
nds-main-v01|0WOYOtvaT5jgZcRO3Vf38l,nds-main-v01,0WOYOtvaT5jgZcRO3Vf38l,3489,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""NEW""]",,,"[""NEW""]"
nds-main-v01|0WOYOtvaT5jgZcRO3Vf38l,nds-main-v01,0WOYOtvaT5jgZcRO3Vf38l,3489,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,60.8846972789168,,60.8846972789168
nds-main-v01|0JVusEp7vCzA7r3MGEOq_7,nds-main-v01,0JVusEp7vCzA7r3MGEOq_7,3728,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""NEW""]",,,"[""NEW""]"
nds-main-v01|0JVusEp7vCzA7r3MGEOq_7,nds-main-v01,0JVusEp7vCzA7r3MGEOq_7,3728,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|0BHcUOU4nDhfMWUyM3pJMV,nds-main-v01,0BHcUOU4nDhfMWUyM3pJMV,4591,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|0BHcUOU4nDhfMWUyM3pJMV,nds-main-v01,0BHcUOU4nDhfMWUyM3pJMV,4591,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|1iv$FuXp5CtvckYJoW4Ik$,nds-main-v01,1iv$FuXp5CtvckYJoW4Ik$,4794,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|1iv$FuXp5CtvckYJoW4Ik$,nds-main-v01,1iv$FuXp5CtvckYJoW4Ik$,4794,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,20.5342840477182,,20.5342840477182
nds-main-v01|0n5zDNi5vDLuxgMzyu$gcE,nds-main-v01,0n5zDNi5vDLuxgMzyu$gcE,4917,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|0n5zDNi5vDLuxgMzyu$gcE,nds-main-v01,0n5zDNi5vDLuxgMzyu$gcE,4917,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|2kAB4o9dL0vOhe_yPKYiqk,nds-main-v01,2kAB4o9dL0vOhe_yPKYiqk,4963,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|2kAB4o9dL0vOhe_yPKYiqk,nds-main-v01,2kAB4o9dL0vOhe_yPKYiqk,4963,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,LoadBearing,Occurrence,boolean,,,false,false
nds-main-v01|1VvOAgDlnBTxZJdpYXKfY8,nds-main-v01,1VvOAgDlnBTxZJdpYXKfY8,5479,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|1VvOAgDlnBTxZJdpYXKfY8,nds-main-v01,1VvOAgDlnBTxZJdpYXKfY8,5479,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,43.9999999999916,,43.9999999999916
nds-main-v01|35_O9ed758sAF1I1ZtMcDk,nds-main-v01,35_O9ed758sAF1I1ZtMcDk,5831,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|35_O9ed758sAF1I1ZtMcDk,nds-main-v01,35_O9ed758sAF1I1ZtMcDk,5831,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,23.4122470964684,,23.4122470964684
nds-main-v01|2v4rrCJXfCEgIpvlPYXdub,nds-main-v01,2v4rrCJXfCEgIpvlPYXdub,5840,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|2v4rrCJXfCEgIpvlPYXdub,nds-main-v01,2v4rrCJXfCEgIpvlPYXdub,5840,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,18.8999999999578,,18.8999999999578
nds-main-v01|0zXd_OmV98jPctsFH3RuI9,nds-main-v01,0zXd_OmV98jPctsFH3RuI9,5849,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|0zXd_OmV98jPctsFH3RuI9,nds-main-v01,0zXd_OmV98jPctsFH3RuI9,5849,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,16.7999999998526,,16.7999999998526
nds-main-v01|06YvBmqdD0DwUXuMLkhmWm,nds-main-v01,06YvBmqdD0DwUXuMLkhmWm,5863,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|06YvBmqdD0DwUXuMLkhmWm,nds-main-v01,06YvBmqdD0DwUXuMLkhmWm,5863,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,47.1194119805984,,47.1194119805984
nds-main-v01|3OMUgyuX14oRMcbjoPR7c3,nds-main-v01,3OMUgyuX14oRMcbjoPR7c3,5872,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|3OMUgyuX14oRMcbjoPR7c3,nds-main-v01,3OMUgyuX14oRMcbjoPR7c3,5872,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,33.0614435543789,,33.0614435543789
nds-main-v01|1hYDURxm1BZPZOvCt77z_l,nds-main-v01,1hYDURxm1BZPZOvCt77z_l,5881,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|1hYDURxm1BZPZOvCt77z_l,nds-main-v01,1hYDURxm1BZPZOvCt77z_l,5881,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,18.0664424442049,,18.0664424442049
nds-main-v01|0LvOw9kgn9CAJxOSZ2a$OY,nds-main-v01,0LvOw9kgn9CAJxOSZ2a$OY,5908,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|0LvOw9kgn9CAJxOSZ2a$OY,nds-main-v01,0LvOw9kgn9CAJxOSZ2a$OY,5908,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,21.3748721919225,,21.3748721919225
nds-main-v01|1wibo47MP6WxWJSXDKOgTu,nds-main-v01,1wibo47MP6WxWJSXDKOgTu,5899,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""NEW""]",,,"[""NEW""]"
nds-main-v01|1wibo47MP6WxWJSXDKOgTu,nds-main-v01,1wibo47MP6WxWJSXDKOgTu,5899,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,15.4431611804353,,15.4431611804353
nds-main-v01|012FEGLqH2uw$UIC_Q5sZn,nds-main-v01,012FEGLqH2uw$UIC_Q5sZn,5890,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|012FEGLqH2uw$UIC_Q5sZn,nds-main-v01,012FEGLqH2uw$UIC_Q5sZn,5890,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,23.4205325505939,,23.4205325505939
nds-main-v01|37_lRnn4D6Sv2jAM$Slaxy,nds-main-v01,37_lRnn4D6Sv2jAM$Slaxy,5937,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|37_lRnn4D6Sv2jAM$Slaxy,nds-main-v01,37_lRnn4D6Sv2jAM$Slaxy,5937,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,49.4251647520572,,49.4251647520572
nds-main-v01|3Row_Sr5PCuApOo0tu8bs1,nds-main-v01,3Row_Sr5PCuApOo0tu8bs1,5948,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""NEW""]",,,"[""NEW""]"
nds-main-v01|3Row_Sr5PCuApOo0tu8bs1,nds-main-v01,3Row_Sr5PCuApOo0tu8bs1,5948,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,72.2382778047487,,72.2382778047487
nds-main-v01|0jLBvDucXE0urRlcVHIVGW,nds-main-v01,0jLBvDucXE0urRlcVHIVGW,5957,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""NEW""]",,,"[""NEW""]"
nds-main-v01|0jLBvDucXE0urRlcVHIVGW,nds-main-v01,0jLBvDucXE0urRlcVHIVGW,5957,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,56.218499245016,,56.218499245016
nds-main-v01|3l3DgCfjv2QwqrrrHF5pt7,nds-main-v01,3l3DgCfjv2QwqrrrHF5pt7,5966,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|3l3DgCfjv2QwqrrrHF5pt7,nds-main-v01,3l3DgCfjv2QwqrrrHF5pt7,5966,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,35.3814435889814,,35.3814435889814
nds-main-v01|2YeofbbZLCCA0rUbGmLQ$H,nds-main-v01,2YeofbbZLCCA0rUbGmLQ$H,5975,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|2YeofbbZLCCA0rUbGmLQ$H,nds-main-v01,2YeofbbZLCCA0rUbGmLQ$H,5975,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,35.3814435889766,,35.3814435889766
nds-main-v01|2EnmISiUPFtvctWM_Trtex,nds-main-v01,2EnmISiUPFtvctWM_Trtex,5984,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|2EnmISiUPFtvctWM_Trtex,nds-main-v01,2EnmISiUPFtvctWM_Trtex,5984,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,35.381443588986,,35.381443588986
nds-main-v01|1h8K9ED5b0svHLFQLmnMEA,nds-main-v01,1h8K9ED5b0svHLFQLmnMEA,5993,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
nds-main-v01|1h8K9ED5b0svHLFQLmnMEA,nds-main-v01,1h8K9ED5b0svHLFQLmnMEA,5993,IfcBuildingElementProxy,Quantity,Qto_BuildingElementProxyQuantities,NetVolume,Occurrence,number,,25.5999999999951,,25.5999999999951
nds-main-v01|1wP20oTBL5LfOo8HRG4hyK,nds-main-v01,1wP20oTBL5LfOo8HRG4hyK,6002,IfcBuildingElementProxy,Property,Pset_BuildingElementProxyCommon,Status,Occurrence,complex,"[""EXISTING""]",,,"[""EXISTING""]"
