ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Block,Status,Phase,BuildingId,BuildingName,ArchicadId,Storey,StoreyCalculated,Materials,HasRepresentation
nds-main-kk-adjustment-v09|1huYWFcy128BUHznMnDsTg,nds-main-kk-adjustment-v09,1huYWFcy128BUHznMnDsTg,3535,IfcSpace,RETAIL,,,,Retail,RETAIL,I,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,I.1.9,0. Story,1,,True
nds-main-kk-adjustment-v09|2n$Lso4NrB7Qa5tNwpHovm,nds-main-kk-adjustment-v09,2n$Lso4NrB7Qa5tNwpHovm,3532,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C.3.2,0. Story,4,,True
nds-main-kk-adjustment-v09|10TLy438z1g9Rr0Pg2FXcy,nds-main-kk-adjustment-v09,10TLy438z1g9Rr0Pg2FXcy,3526,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,H,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,H.1.8,0. Story,8,,True
nds-main-kk-adjustment-v09|3tcX$Ld_X6KOkDvpCcTjfr,nds-main-kk-adjustment-v09,3tcX$Ld_X6KOkDvpCcTjfr,3538,IfcSpace,RETAIL,,,,Retail,RETAIL,I,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,I.1.8,0. Story,1,,True
nds-main-kk-adjustment-v09|193tDWeovDex7qh9HkBPfN,nds-main-kk-adjustment-v09,193tDWeovDex7qh9HkBPfN,3541,IfcSpace,RETAIL,,,,Retail,RETAIL,K,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,K.1.2,0. Story,1,,True
nds-main-kk-adjustment-v09|1jL4kIRGPCkfBcfxUKPzoC,nds-main-kk-adjustment-v09,1jL4kIRGPCkfBcfxUKPzoC,3547,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,K,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,K.1.1,0. Story,2,,True
nds-main-kk-adjustment-v09|0STW0DokL1iwjrDtA9SZsF,nds-main-kk-adjustment-v09,0STW0DokL1iwjrDtA9SZsF,3550,IfcSpace,BYDLENÍ,,,,Bydlení,BYDLENÍ,K,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,K.1.3,0. Story,2,,True
nds-main-kk-adjustment-v09|0JxKpVA5P13QkIwtMEwBMZ,nds-main-kk-adjustment-v09,0JxKpVA5P13QkIwtMEwBMZ,3544,IfcSpace,RETAIL,,,,Retail,RETAIL,K,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,K.1.3,0. Story,1,,True
nds-main-kk-adjustment-v09|2Jnni41HbEBOmSSGaEDKSE,nds-main-kk-adjustment-v09,2Jnni41HbEBOmSSGaEDKSE,3582,IfcSpace,INV,,,,polyfunkční dům 2,INV,J,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,J.1.1,0. Story,2,,True
nds-main-kk-adjustment-v09|2fcB$4vu9CVuNrF1W64FSq,nds-main-kk-adjustment-v09,2fcB$4vu9CVuNrF1W64FSq,3588,IfcSpace,INV,,,,polyfunkční dům 2,INV,J,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,J.1.1,0. Story,2,,True
