ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Block,Status,Phase,BuildingId,BuildingName,ArchicadId,Storey,StoreyCalculated,Materials,HasRepresentation
nds-main-general-v08|15R2xC1i5CVOPBg_r3VJyb,nds-main-general-v08,15R2xC1i5CVOPBg_r3VJyb,2678,IfcBuildingElementProxy,H,,,,DŘEVO,BYDLENÍ,H,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,H,0. Story,1,DŘEVO,True
nds-main-general-v08|28Mt1DMdPCbOr$2IatGuQS,nds-main-general-v08,28Mt1DMdPCbOr$2IatGuQS,2710,IfcBuildingElementProxy,I,,,,DŘEVO,RETAIL,I,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,I,0. Story,1,DŘEVO,True
nds-main-general-v08|0hJc5rDPjDZf2_sFJWyH6D,nds-main-general-v08,0hJc5rDPjDZf2_sFJWyH6D,2707,IfcBuildingElementProxy,E,,,,DŘEVO,RETAIL,E,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,DŘEVO,True
nds-main-general-v08|2hsgaBOvbDoP$BSWaQXw2X,nds-main-general-v08,2hsgaBOvbDoP$BSWaQXw2X,2731,IfcBuildingElementProxy,Etapa 1,,,,DŘEVO,RETAIL,H,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,Etapa 1,0. Story,1,DŘEVO,True
nds-main-general-v08|00F23UPWX53vKEfL4fTQXq,nds-main-general-v08,00F23UPWX53vKEfL4fTQXq,2737,IfcBuildingElementProxy,E,,,,DŘEVO,VZDĚLÁVÁNÍ A KULTURA,E,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,DŘEVO,True
nds-main-general-v08|3pElXha1j3OutoATt5A9vK,nds-main-general-v08,3pElXha1j3OutoATt5A9vK,2767,IfcBuildingElementProxy,F,,,,DŘEVO,BYDLENÍ,F,Existing,Etapa 2,00tMo7QcxqWdIGvc4sMN2A,Building,F,0. Story,1,DŘEVO,True
nds-main-general-v08|0B3pm_5GHBbxi1t7hjliUV,nds-main-general-v08,0B3pm_5GHBbxi1t7hjliUV,2773,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,E,New,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,DŘEVO,True
nds-main-general-v08|1EgasiXh5EJwIVxzfy9U0k,nds-main-general-v08,1EgasiXh5EJwIVxzfy9U0k,2776,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,E,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,DŘEVO,True
nds-main-general-v08|1uTldYPBX2u8rM3KR8kaUY,nds-main-general-v08,1uTldYPBX2u8rM3KR8kaUY,2785,IfcBuildingElementProxy,B,,,,DŘEVO,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B,0. Story,1,DŘEVO,True
nds-main-general-v08|0PIJPuiRvC9e23BljAzBOL,nds-main-general-v08,0PIJPuiRvC9e23BljAzBOL,2791,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,E,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,DŘEVO,True
nds-main-general-v08|176e9AtSXDRwkAVCbhjGna,nds-main-general-v08,176e9AtSXDRwkAVCbhjGna,2809,IfcBuildingElementProxy,Etapa 2,,,,DŘEVO,BYDLENÍ,F,Existing,Etapa 2,00tMo7QcxqWdIGvc4sMN2A,Building,Etapa 2,0. Story,1,DŘEVO,True
nds-main-general-v08|0a0fURQAXCIPluH4Lr_LIg,nds-main-general-v08,0a0fURQAXCIPluH4Lr_LIg,2827,IfcBuildingElementProxy,B,,,,GENERIC - STRUCTURAL,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B,0. Story,5,GENERIC - STRUCTURAL,True
nds-main-general-v08|1NtvSZ7dnBRPUPMU9l7GaU,nds-main-general-v08,1NtvSZ7dnBRPUPMU9l7GaU,2832,IfcBuildingElementProxy,B,,,,GENERIC - STRUCTURAL,BYDLENÍ,B,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,B,0. Story,5,GENERIC - STRUCTURAL,True
nds-main-general-v08|0WOYOtvaT5jgZcRO3Vf38l,nds-main-general-v08,0WOYOtvaT5jgZcRO3Vf38l,2835,IfcBuildingElementProxy,J,,,,GENERIC - STRUCTURAL,,J,New,,00tMo7QcxqWdIGvc4sMN2A,Building,J,0. Story,,GENERIC - STRUCTURAL,True
nds-main-general-v08|0JVusEp7vCzA7r3MGEOq_7,nds-main-general-v08,0JVusEp7vCzA7r3MGEOq_7,2909,IfcBuildingElementProxy,E,,,,DŘEVO,BYDLENÍ,E,New,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,E,0. Story,1,DŘEVO,True
nds-main-general-v08|0BHcUOU4nDhfMWUyM3pJMV,nds-main-general-v08,0BHcUOU4nDhfMWUyM3pJMV,3188,IfcBuildingElementProxy,K,,,,DŘEVO,RETAIL,K,Existing,Etapa 1,00tMo7QcxqWdIGvc4sMN2A,Building,K,0. Story,1,DŘEVO,True
nds-main-general-v08|1iv$FuXp5CtvckYJoW4Ik$,nds-main-general-v08,1iv$FuXp5CtvckYJoW4Ik$,3249,IfcBuildingElementProxy,B,,,,GENERIC - STRUCTURAL,,B,Existing,,00tMo7QcxqWdIGvc4sMN2A,Building,B,0. Story,,GENERIC - STRUCTURAL,True
nds-main-general-v08|0n5zDNi5vDLuxgMzyu$gcE,nds-main-general-v08,0n5zDNi5vDLuxgMzyu$gcE,3287,IfcBuildingElementProxy,C,,,,DŘEVO,BYDLENÍ,C,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,C,0. Story,1,DŘEVO,True
nds-main-general-v08|2kAB4o9dL0vOhe_yPKYiqk,nds-main-general-v08,2kAB4o9dL0vOhe_yPKYiqk,3296,IfcBuildingElementProxy,D,,,,DŘEVO,BYDLENÍ,D,Existing,Etapa 3,00tMo7QcxqWdIGvc4sMN2A,Building,D,0. Story,1,DŘEVO,True
