ElementKey,ModelId,GlobalId,ExpressId,IfcClass,Name,Description,ObjectType,PredefinedType,TypeName,Function,Materials,HasRepresentation
nds-main-v01|06YvBmqdD0DwUXuMLkhmWm,nds-main-v01,06YvBmqdD0DwUXuMLkhmWm,5863,IfcBuildingElementProxy,H,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3OMUgyuX14oRMcbjoPR7c3,nds-main-v01,3OMUgyuX14oRMcbjoPR7c3,5872,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1hYDURxm1BZPZOvCt77z_l,nds-main-v01,1hYDURxm1BZPZOvCt77z_l,5881,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0LvOw9kgn9CAJxOSZ2a$OY,nds-main-v01,0LvOw9kgn9CAJxOSZ2a$OY,5908,IfcBuildingElementProxy,H,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|1wibo47MP6WxWJSXDKOgTu,nds-main-v01,1wibo47MP6WxWJSXDKOgTu,5899,IfcBuildingElementProxy,J,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|012FEGLqH2uw$UIC_Q5sZn,nds-main-v01,012FEGLqH2uw$UIC_Q5sZn,5890,IfcBuildingElementProxy,H,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|37_lRnn4D6Sv2jAM$Slaxy,nds-main-v01,37_lRnn4D6Sv2jAM$Slaxy,5937,IfcBuildingElementProxy,K,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3Row_Sr5PCuApOo0tu8bs1,nds-main-v01,3Row_Sr5PCuApOo0tu8bs1,5948,IfcBuildingElementProxy,J,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0jLBvDucXE0urRlcVHIVGW,nds-main-v01,0jLBvDucXE0urRlcVHIVGW,5957,IfcBuildingElementProxy,J,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3l3DgCfjv2QwqrrrHF5pt7,nds-main-v01,3l3DgCfjv2QwqrrrHF5pt7,5966,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2YeofbbZLCCA0rUbGmLQ$H,nds-main-v01,2YeofbbZLCCA0rUbGmLQ$H,5975,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2EnmISiUPFtvctWM_Trtex,nds-main-v01,2EnmISiUPFtvctWM_Trtex,5984,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1h8K9ED5b0svHLFQLmnMEA,nds-main-v01,1h8K9ED5b0svHLFQLmnMEA,5993,IfcBuildingElementProxy,I,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|1wP20oTBL5LfOo8HRG4hyK,nds-main-v01,1wP20oTBL5LfOo8HRG4hyK,6002,IfcBuildingElementProxy,I,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2Gzf93Eff7aQS4NCBJuxdF,nds-main-v01,2Gzf93Eff7aQS4NCBJuxdF,6011,IfcBuildingElementProxy,I,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|2SIIB0Zp5C2xpeLGU24WNu,nds-main-v01,2SIIB0Zp5C2xpeLGU24WNu,6020,IfcBuildingElementProxy,I,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1DIrEH50jCAeNI5c3FCtpP,nds-main-v01,1DIrEH50jCAeNI5c3FCtpP,6029,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0SbZZ6DvX3CxmSvfr27n8d,nds-main-v01,0SbZZ6DvX3CxmSvfr27n8d,6038,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3FyIdw_ob6sfB$e1TnIXtz,nds-main-v01,3FyIdw_ob6sfB$e1TnIXtz,6056,IfcBuildingElementProxy,E,,,NOTDEFINED,Glass,PARKOVÁNÍ,Glass,True
nds-main-v01|0DOgyNH$fEv9U$ZWl88W6y,nds-main-v01,0DOgyNH$fEv9U$ZWl88W6y,6076,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,PARKOVÁNÍ,GENERIC - STRUCTURAL,True
nds-main-v01|1zxxMyofX9IRSrzqY9bbmG,nds-main-v01,1zxxMyofX9IRSrzqY9bbmG,6131,IfcBuildingElementProxy,A,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|2YQnFlOpT1m8QGSY1yzytr,nds-main-v01,2YQnFlOpT1m8QGSY1yzytr,6302,IfcBuildingElementProxy,Etapa 3,,,NOTDEFINED,DŘEVO,BYDLENÍ,DŘEVO,True
nds-main-v01|0GzjjrsaLEg8tkaLE92U9M,nds-main-v01,0GzjjrsaLEg8tkaLE92U9M,6339,IfcBuildingElementProxy,E,,,NOTDEFINED,DŘEVO,RETAIL,DŘEVO,True
nds-main-v01|2YBdX0EkT1R8a5B1HY$pkM,nds-main-v01,2YBdX0EkT1R8a5B1HY$pkM,7073,IfcBuildingElementProxy,B,,,NOTDEFINED,GENERIC - STRUCTURAL,BYDLENÍ,GENERIC - STRUCTURAL,True
nds-main-v01|2BRF_msHz2uR3m6_oVYcjf,nds-main-v01,2BRF_msHz2uR3m6_oVYcjf,7129,IfcBuildingElementProxy,I,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2C$vgyNxn7HQT21o3VExri,nds-main-v01,2C$vgyNxn7HQT21o3VExri,7158,IfcBuildingElementProxy,H,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|1K4pIuq7P6PAVg00LBBDHz,nds-main-v01,1K4pIuq7P6PAVg00LBBDHz,7159,IfcBuildingElementProxy,K,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0Nr1KOZgv2JuG7kkR9aPT3,nds-main-v01,0Nr1KOZgv2JuG7kkR9aPT3,7168,IfcBuildingElementProxy,B,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2K4auIKe5EABPcul7lxkGC,nds-main-v01,2K4auIKe5EABPcul7lxkGC,7177,IfcBuildingElementProxy,B,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|0scixj4zzDJOXDN8lAZTHw,nds-main-v01,0scixj4zzDJOXDN8lAZTHw,7186,IfcBuildingElementProxy,D,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|0$KuAOhgT8sPyjhtXucp3d,nds-main-v01,0$KuAOhgT8sPyjhtXucp3d,7195,IfcBuildingElementProxy,D,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|0rZK6gj89ChxTc18hfCkAl,nds-main-v01,0rZK6gj89ChxTc18hfCkAl,7204,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2nCn542ePAbfTopyj4_XW4,nds-main-v01,2nCn542ePAbfTopyj4_XW4,7213,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1S6X9KeozAix5c2vhM$n2p,nds-main-v01,1S6X9KeozAix5c2vhM$n2p,7222,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2sDi_vpzX7CgC3dO0DJ6sP,nds-main-v01,2sDi_vpzX7CgC3dO0DJ6sP,7231,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0f7N6n_fD4jv6QlXHSmDKP,nds-main-v01,0f7N6n_fD4jv6QlXHSmDKP,7248,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3B_gSvrI5808T9VeCkXoNP,nds-main-v01,3B_gSvrI5808T9VeCkXoNP,7261,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3CHK_WigLFjBIBbX_mQYA1,nds-main-v01,3CHK_WigLFjBIBbX_mQYA1,7270,IfcBuildingElementProxy,K,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0DhK_TbE51AhCE$UzLdsIg,nds-main-v01,0DhK_TbE51AhCE$UzLdsIg,7279,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|3bdfOvriPB7hs6B7MWw$ES,nds-main-v01,3bdfOvriPB7hs6B7MWw$ES,7288,IfcBuildingElementProxy,D,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0Yn9VpxQf3DebFTV1ZHYpA,nds-main-v01,0Yn9VpxQf3DebFTV1ZHYpA,7289,IfcBuildingElementProxy,E,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|0E$HpDBTDBcunW_E_Cd7L8,nds-main-v01,0E$HpDBTDBcunW_E_Cd7L8,7313,IfcBuildingElementProxy,A,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|1JXfeHHHL7VAQ2te_jWIFE,nds-main-v01,1JXfeHHHL7VAQ2te_jWIFE,7323,IfcBuildingElementProxy,B,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|0dXlnCY3P9FwECtDTHgUyN,nds-main-v01,0dXlnCY3P9FwECtDTHgUyN,7332,IfcBuildingElementProxy,D,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|2qGpg0XgD5SuMRJBROXuFr,nds-main-v01,2qGpg0XgD5SuMRJBROXuFr,7341,IfcBuildingElementProxy,B,,,NOTDEFINED,Glass,,Glass,True
nds-main-v01|1$aGJXswj6N9ykG4OfObB5,nds-main-v01,1$aGJXswj6N9ykG4OfObB5,7350,IfcBuildingElementProxy,I,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|1C1ceZ93f9qf4v$9o6n_iq,nds-main-v01,1C1ceZ93f9qf4v$9o6n_iq,7359,IfcBuildingElementProxy,F,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
nds-main-v01|2sen_Cz_zE3ABq_MSAwoHZ,nds-main-v01,2sen_Cz_zE3ABq_MSAwoHZ,7368,IfcBuildingElementProxy,B,,,NOTDEFINED,GENERIC - STRUCTURAL,,GENERIC - STRUCTURAL,True
